,file,company_name,title,question_type,python_difficulty,mySQL_difficulty,postgreSQL_difficulty,prompt,source,question_id
0,bestSellingItem_online_retail.csv,Amazon,Best Selling Item,interview questions,hard,hard,hard,Find the best selling item for each month (no need to separate months by year) where the biggest total invoice was paid. The best selling item is calculated using the formula (unitprice * quantity). Output the description of the item along with the amount paid.,https://platform.stratascratch.com/coding/10172-best-selling-item?code_type=2,10172
1,appleProductCounts_playbook_events.csv,Google,Apple Product Counts,general practice,hard,medium,medium,"Find the number of Apple product users and the number of total users with a device and group the counts by language. Assume Apple products are only MacBook-Pro, iPhone 5s, and iPad-air. Output the language along with the total number of Apple users and users with any device. Order your results based on the number of total users in descending order.",https://platform.stratascratch.com/coding/10141-apple-product-counts?code_type=2,101141
2,appleProductCounts_playbook_users.csv,Google,Apple Product Counts,general practice,hard,medium,medium,"Find the number of Apple product users and the number of total users with a device and group the counts by language. Assume Apple products are only MacBook-Pro, iPhone 5s, and iPad-air. Output the language along with the total number of Apple users and users with any device. Order your results based on the number of total users in descending order.",https://platform.stratascratch.com/coding/10141-apple-product-counts?code_type=2,101141
3,spamPosts_facebook_posts.csv,Meta/Facebook,Spam Posts,interview questions,medium,medium,medium,Calculate the percentage of spam posts in all viewed posts by day. A post is considered a spam if a string 'spam' is inside keywords of the post. Note that the facebook_posts table stores all posts posted by users. The facebook_post_views table is an action table denoting if a user has viewed a post.,https://platform.stratascratch.com/coding/10134-spam-posts?code_type=2,10134
4,spamPosts_facebook_post_views.csv,Meta/Facebook,Spam Posts,interview questions,medium,medium,medium,Calculate the percentage of spam posts in all viewed posts by day. A post is considered a spam if a string 'spam' is inside keywords of the post. Note that the facebook_posts table stores all posts posted by users. The facebook_post_views table is an action table denoting if a user has viewed a post.,https://platform.stratascratch.com/coding/10134-spam-posts?code_type=2,10134
5,likedPosts_facebook_reactions.csv,Meta/Facebook,'Liked' Posts,general practice,medium,medium,medium,Find the number of posts which were reacted to with a like.,https://platform.stratascratch.com/coding/10088-liked-posts?code_type=2,10088
6,likedPosts_facebook_posts.csv,Meta/Facebook,'Liked' Posts,general practice,medium,medium,medium,Find the number of posts which were reacted to with a like.,https://platform.stratascratch.com/coding/10088-liked-posts?code_type=2,10088
7,flagsPerVideo_user_flags.csv,Google,Flags per Video,active interview,medium,medium,medium,"For each video, find how many unique users flagged it. A unique user can be identified using the combination of their first name and last name. Do not consider rows in which there is no flag ID.",https://platform.stratascratch.com/coding/2102-flags-per-video?code_type=2,2102
8,reviewsBinsOnReviewsNumber_airbnb_search_details.csv,Airbnb,Reviews Bins on Reviews Number,interview questions,hard,medium,medium,"To better understand the effect of the review count on the price of accomodation, categorize the number of reviews into the following groups along with the price.  0 reviews: NO     1 to 5 reviews: FEW     6 to 15 reviews: SOME     16 to 40 reviews: MANY     more than 40 reviews: A LOT Output the price and it's categorization. Perform the categorization on accomodation level.",https://platform.stratascratch.com/coding/9628-reviews-bins-on-reviews-number?code_type=2,9628
9,findStudentsWithAMedianWritingScore_sat_scores.csv,Google,Find students with a median writing score,general practice,hard,hard,hard,Output ids of students with a median score from the writing SAT.,https://platform.stratascratch.com/coding/9610-find-students-with-a-median-writing-score?code_type=2,9610
10,correlationBetweenE-mailsAndActivityTime_google_gmail_emails.csv,Google,Correlation Between E-mails And Activity Time,interview questions,medium,hard,hard,There are two tables with user activities. The 'google_gmail_emailstable contains information about emails being sent to users. Each row in that table represents a message with an unique identifier in theidfield. Thegoogle_fit_location` table contains user activity logs from the Google Fit app. Find the correlation between the number of emails received and the total exercise per day. The total exercise per day is calculated by counting the number of user sessions per day.,https://platform.stratascratch.com/coding/10069-correlation-between-e-mails-and-activity-time?code_type=2,10069
11,correlationBetweenE-mailsAndActivityTime_google_fit_location.csv,Google,Correlation Between E-mails And Activity Time,interview questions,medium,hard,hard,There are two tables with user activities. The 'google_gmail_emailstable contains information about emails being sent to users. Each row in that table represents a message with an unique identifier in theidfield. Thegoogle_fit_location` table contains user activity logs from the Google Fit app. Find the correlation between the number of emails received and the total exercise per day. The total exercise per day is calculated by counting the number of user sessions per day.,https://platform.stratascratch.com/coding/10069-correlation-between-e-mails-and-activity-time?code_type=2,10069
12,averageTimeBetweenSteps_facebook_product_features_realizations.csv,Meta/Facebook,Average Time Between Steps,general practice,hard,hard,hard,"Find the average time (in seconds), per product, that needed to progress between steps. You can ignore products that were never used. Output the feature id and the average time.",https://platform.stratascratch.com/coding/9793-average-time-between-steps?code_type=2,9793
13,viewsPerKeyword_facebook_posts.csv,Meta/Facebook,Views Per Keyword,interview questions,hard,hard,hard,"Create a report showing how many views each keyword has. Output the keyword and the total views, and order records with highest view count first.",https://platform.stratascratch.com/coding/9791-views-per-keyword?code_type=2,9791
14,viewsPerKeyword_facebook_post_views.csv,Meta/Facebook,Views Per Keyword,interview questions,hard,hard,hard,"Create a report showing how many views each keyword has. Output the keyword and the total views, and order records with highest view count first.",https://platform.stratascratch.com/coding/9791-views-per-keyword?code_type=2,9791
15,commentsDistribution_fb_users.csv,Meta/Facebook,Comments Distribution,interview questions,hard,hard,hard,"Write a query to calculate the distribution of comments by the count of users that joined Meta/Facebook between 2018 and 2020, for the month of January 2020. The output should contain a count of comments and the corresponding number of users that made that number of comments in Jan-2020. For example, you'll be counting how many users made 1 comment, 2 comments, 3 comments, 4 comments, etc in Jan-2020. Your left column in the output will be the number of comments while your right column in the output will be the number of users. Sort the output from the least number of comments to highest. To add some complexity, there might be a bug where an user post is dated before the user join date. You'll want to remove these posts from the result.",https://platform.stratascratch.com/coding/10297-comments-distribution?code_type=2,10297
16,commentsDistribution_fb_comments.csv,Meta/Facebook,Comments Distribution,interview questions,hard,hard,hard,"Write a query to calculate the distribution of comments by the count of users that joined Meta/Facebook between 2018 and 2020, for the month of January 2020. The output should contain a count of comments and the corresponding number of users that made that number of comments in Jan-2020. For example, you'll be counting how many users made 1 comment, 2 comments, 3 comments, 4 comments, etc in Jan-2020. Your left column in the output will be the number of comments while your right column in the output will be the number of users. Sort the output from the least number of comments to highest. To add some complexity, there might be a bug where an user post is dated before the user join date. You'll want to remove these posts from the result.",https://platform.stratascratch.com/coding/10297-comments-distribution?code_type=2,10297
